Name, Price
Cerveja PETRA ESCURA 355ML,R$ 3.39
Cerveja PETRA PURO MALTE 600ML,R$ 5.59
Cerveja PURO MALTE 350ML LT,R$ 2.19
Cerveja SERRANA 350ML LT,R$ 2.29
Cerveja SKOL 269ML LT,R$ 2.09
Cerveja SKOL 350ML LT,R$ 2.39
Cerveja SKOL 550ml,R$ 3.79
Cerveja SOL 330ml,R$ 4.29
Cerveja SPATEN 600ml,R$ 7.49
Cerveja STELLA ARTOIS 275ml,R$ 4.19
Cerveja STELLA ARTOIS 330ml,R$ 4.59
Cerveja STELLA ARTOIS s/ glúten 330ml,R$ 5.29
Cerveja STELLA ARTOIS 600ml,R$ 7.89
Chopp STRAAT BIER PALE ALE Growler 15L,R$ 16.98
Chopp STRAAT BIER IPA Growler 15L,R$ 16.98
Chopp STRAAT BIER Pilsen Growler 15L,R$ 14.98
Chopp POTIGUAR TRIPLO MALTE Growler 15L,R$ 12.98
Cerveja WIENBIER 56 Black 473ml,R$ 3.99
Cerveja WIENBIER 57 Weiss 473ml,R$ 3.99
Chop Vinho WIENBIER 58 473ml,R$ 4.98
Cerveja WIENBIER 59 IPA 473ml,R$ 3.99
Chopp DRAFT Vinho Tinto 600ml,R$ 6.69
Chopp DRAFT PÊSSEGO 600ml,R$ 6.69
Chopp DRAFT WHITE 600ml,R$ 6.69
Chopp DRAFT BRAZILIAN 600ml,R$ 6.69
Chopp DRAFT ICE 600ml,R$ 6.69
Bebida SKOL BEATS GT 269ml LN,R$ 5.98
Bebida SKOL BEATS GT 269ml,R$ 3.79
Bebida SKOL BEATS SENSES 313ml,R$ 5.39
Bebida SKOL BEATS SENSES 269ml,R$ 3.69
